,Team,Score,Overs,RR,Inns,Unnamed: 5,Opposition,Ground,Match Date,Scorecard
0,Victoria,1107,190.7x8,4.34,2,,v NSW,Melbourne,24 Dec 1926,FC
1,Victoria,1059,186.0x8,4.27,2,,v Tasmania,Melbourne,2 Feb 1923,FC
2,Sri Lanka,952/6d,271.0,3.51,2,,v India,Colombo (RPS),2 Aug 1997,Test # 1374
3,Sind,951/7d,179.4x8,3.97,2,,v Baluchistan,Karachi,18 Feb 1974,FC
4,Hyderabad,944/6d,211.0,4.47,2,,v Andhra,Secunderabad,8 Jan 1994,FC
5,NSW,918,208.0,4.41,2,,v South Aust,Sydney,5 Jan 1901,FC
6,Tamil Nadu,912/6d,191.2,4.76,1,,v Goa,Panaji,20 Jan 1989,FC
7,Holkar,912/8d,214.5,4.24,1,,v Mysore,Indore,2 Mar 1946,FC
8,P Railways,910/6d,172.0,5.29,1,,v Dera Ismail,Lahore,2 Dec 1964,FC
9,England,903/7d,335.2,2.69,1,,v Australia,The Oval,20 Aug 1938,Test # 266
10,Queensland,900/6d,242.0,3.71,2,,v Victoria,Brisbane,24 Mar 2006,FC
11,Yorkshire,887,274.3x5,3.87,1,,v Warwickshire,Birmingham,7 May 1896,FC
12,Jharkhand,880,203.4,4.32,1,,v Nagaland,Kolkata,12 Mar 2022,FC
13,North Zone,868,197.0,4.4,2,,v West Zone,Bhilai,21 Oct 1987,FC
14,Boost Region,864/9d,212.0,4.07,1,,v Speen-Ghar,Kandahar,2 Dec 2021,FC
15,Lancashire,863,224.5,3.83,2,,v Surrey,The Oval,3 May 1990,FC
16,Bombay,855/6d,176.0,4.85,1,,v Hyderabad,Wankhede,24 Apr 1991,FC
17,Somerset,850/7d,178.3,4.76,2,,v Middlesex,Taunton,18 Apr 2007,FC
